POSTCODE,Suburb,Top country of birth,total,"Born overseas, %","Born in non-English speaking country, %",Top country of birth__1,"Top country of birth, persons","Top country of birth, %",AgeRang,percent,AgeGroup,AG_percent
3039,MOONEE PONDS,Italy,14362,26.6,20.6,Italy,1508,5.8,rang45n64,23.9,Adult,70
3040,ESSENDON,India,19720,23,18.2,India,1530,4.3,rang45n64,25.6,Adult,69.8
3040,ABERFELDIE,England,3765,16.5,11.9,England,170,2.5,rang45n64,28.8,Adult,68.8
3040,ESSENDON WEST,Italy,1452,18.2,13.9,Italy,76,2.8,rang45n64,22.3,Adult,61.6
3041,STRATHMORE,Italy,8471,16.7,12,Italy,426,2.7,rang45n64,28.2,Adult,66
3041,ESSENDON NORTH,India,2439,26.2,21.1,India,218,5.2,rang45n64,24.6,Adult,69.9
3041,STRATHMORE HEIGHTS,Italy,979,20.9,15.1,Italy,46,2.5,rang45n64,29.1,Adult,66.8
3042,AIRPORT WEST,Italy,7336,28.7,24.8,Italy,1254,9.5,rang45n64,22.6,Adult,64.4
3042,NIDDRIE,Italy,5092,22.1,17.2,Italy,334,3.6,rang45n64,24.6,Adult,65.7
3042,KEILOR PARK,Italy,2614,34.9,31.7,Italy,758,15.3,rang45n64,25.5,Adult,62.7
3043,GLADSTONE PARK,Italy,8637,35.7,30.9,Italy,686,4.4,rang45n64,28.5,Adult,67.2
3043,TULLAMARINE,Italy,6552,35.9,30.6,Italy,542,4.6,rang45n64,24.6,Adult,70.7
3043,GOWANBRAE,Italy,2922,26.5,22,Italy,132,2.5,rang45n64,18.9,Adult,65.8
3044,PASCOE VALE,Italy,15746,31.1,26.7,Italy,1870,6.6,rang45n64,20.1,Adult,65.7
3044,PASCOE VALE SOUTH,Italy,9934,24.7,20.8,Italy,1182,6.4,rang45n64,24.5,Adult,65.5
3045,MELBOURNE AIRPORT,New Zealand,158,30.2,20.9,New Zealand,18,10.6,rang45n64,22.8,Adult,65.9
3046,GLENROY,India,20810,41.9,37.7,India,1994,5.5,rang45n64,19.6,Adult,64.9
3046,OAK PARK,India,6102,31,26.5,India,442,4,rang45n64,22.6,Adult,69.3
3046,HADFIELD,Italy,5625,35.3,32.6,Italy,832,8.4,rang45n64,20.9,Adult,61.5
3047,BROADMEADOWS,Iraq,11187,46.9,43.1,Iraq,1400,7.5,rang45n64,20.1,Adult,65.2
3047,DALLAS,Turkey,6778,49,45.7,Turkey,1784,15.5,rang45n64,20.5,Adult,63.5
3047,JACANA,India,2048,39.2,33.7,India,138,3.9,rang45n64,21.3,Adult,64.4
3048,MEADOW HEIGHTS,Turkey,15635,47.5,45,Turkey,3786,13.5,rang45n64,22,Adult,67.9
3048,COOLAROO,Iraq,3345,43.6,39.7,Iraq,662,11,rang45n64,21.2,Adult,62.1
3049,WESTMEADOWS,Italy,5725,25.6,21.1,Italy,472,4.6,rang45n64,29.4,Adult,72.2
3049,ATTWOOD,Italy,3387,23.9,20.1,Italy,222,3.5,rang45n64,26.4,Adult,70.6
3051,NORTH MELBOURNE,China,12943,46.1,36.7,China,1722,8.2,rang45n64,16.2,Adult,81.9
3052,PARKVILLE,China,6690,38.7,28.9,China,724,6.3,rang45n64,12.4,Adult,83.4
3053,CARLTON,China,14602,63,55.3,China,2668,11.2,rang45n64,10.8,Adult,87.1
3054,PRINCES HILL,England,2199,25.3,16.1,England,122,3.1,rang45n64,22,Adult,70.9
3054,CARLTON NORTH,England,6644,26.5,15.7,England,464,4,rang45n64,18.5,Adult,80.1
3055,BRUNSWICK WEST,Italy,13959,36.4,30,Italy,1164,4.7,rang45n64,19.8,Adult,75.1
3056,BRUNSWICK,Italy,24433,34.8,26.5,Italy,1864,4.4,rang45n64,17.5,Adult,78.8
3057,BRUNSWICK EAST,Italy,9114,33.9,24.8,Italy,1036,6.4,rang45n64,17,Adult,77.3
3058,COBURG,Italy,26503,35.9,30.6,Italy,3482,7.4,rang45n64,21,Adult,70.7
3058,COBURG NORTH,Italy,6923,38.7,32.8,Italy,984,8.1,rang45n64,20.8,Adult,66.3
3059,GREENVALE,Italy,12344,31,28.6,Italy,1458,6.4,rang45n64,29.1,Adult,72.9
3060,FAWKNER,Italy,13316,49.6,45.7,Italy,3314,14,rang45n64,18.8,Adult,59.3
3061,CAMPBELLFIELD,Iraq,5730,54.9,52.4,Iraq,1372,13.7,rang45n64,19.7,Adult,62.3
3064,ROXBURGH PARK,Iraq,20536,46,43.5,Iraq,4664,12.9,rang45n64,19.9,Adult,67.8
3065,FITZROY,Vietnam,10535,37.4,25.6,Vietnam,796,4.8,rang45n64,18.6,Adult,79.7
3066,COLLINGWOOD,Vietnam,7090,37.7,27.8,Vietnam,796,7.1,rang45n64,18.1,Adult,79.7
3068,FITZROY NORTH,England,12330,27.6,16.5,England,996,4.6,rang45n64,21.6,Adult,75
3068,CLIFTON HILL,England,6297,23.3,12.8,England,484,4.4,rang45n64,25.3,Adult,77.3
3070,NORTHCOTE,Greece,24316,27.7,19.1,Greece,2476,5.7,rang45n64,21.9,Adult,71.5
3072,PRESTON,Italy,31514,37.2,32,Italy,2640,4.8,rang45n64,21.5,Adult,70.5
3074,THOMASTOWN,Italy,21348,53.9,51.9,Italy,3232,8.4,rang45n64,24.2,Adult,65.9
3075,LALOR,Italy,21348,49.8,47.6,Italy,2820,7.5,rang45n64,22.5,Adult,64.5
3076,EPPING,India,29632,36.1,32.5,India,2996,5.9,rang45n64,21.8,Adult,70.5
3078,ALPHINGTON,England,4893,22.1,14.4,England,342,3.9,rang45n64,27.7,Adult,69.7
3078,FAIRFIELD,Greece,6194,28.2,20.6,Greece,466,4.1,rang45n64,23.2,Adult,73.9
3079,IVANHOE,China,11691,26.3,19.1,China,668,3.1,rang45n64,27.1,Adult,68.9
3079,IVANHOE EAST,England,4024,20.4,13.9,England,260,3.6,rang45n64,28.6,Adult,64.1
3081,HEIDELBERG WEST,Somalia,5672,37,32,Somalia,548,5.6,rang45n64,20.6,Adult,65.8
3081,HEIDELBERG HEIGHTS,India,6713,31.3,25.2,India,438,3.7,rang45n64,22.4,Adult,69.1
3082,MILL PARK,FYR Macedonia,31334,33.3,29.9,FYR Macedonia,2142,3.7,rang45n64,28.6,Adult,72.8
3083,BUNDOORA,China,27155,38,33.9,China,3674,7.6,rang45n64,22.4,Adult,70
3083,KINGSBURY,China,3556,52.1,47.9,China,770,11.9,rang45n64,17.2,Adult,71
3084,ROSANNA,Italy,8350,24.9,18.5,Italy,630,4.2,rang45n64,22.8,Adult,60.7
3084,HEIDELBERG,China,6056,27.4,21.2,China,324,3,rang45n64,21.7,Adult,66.9
3084,VIEWBANK,England,7067,26.2,20.8,England,394,3,rang45n64,26.6,Adult,63.1
3084,EAGLEMONT,Italy,4067,21.3,14.5,Italy,280,3.7,rang45n64,31.3,Adult,68.4
3085,MACLEOD,England,10054,25.5,19,England,556,3,rang45n64,22.9,Adult,65.1
3085,YALLAMBIE,England,4250,18.2,12.1,England,272,3.5,rang45n64,20.4,Adult,69.4
3087,WATSONIA,England,5338,18.2,13.2,England,242,2.5,rang45n64,22,Adult,64.8
3087,WATSONIA NORTH,Italy,3984,21.9,17.2,Italy,262,3.5,rang45n64,26.9,Adult,67.3
3088,GREENSBOROUGH,England,21372,19.2,13,England,1212,3.1,rang45n64,27,Adult,68
3088,ST HELENA,England,2906,14.3,8.1,England,174,3.1,rang45n64,33.8,Adult,72
3088,BRIAR HILL,England,3192,15.7,7.9,England,272,4.5,rang45n64,25,Adult,68.7
3089,DIAMOND CREEK,England,11372,13.4,6.2,England,962,4.5,rang45n64,28.4,Adult,71.5
3090,PLENTY,England,1573,12.6,8.5,England,68,2.4,rang45n64,27.2,Adult,65.6
3091,YARRAMBAT,Italy,698,14.1,9.6,Italy,60,4.7,rang45n64,32.5,Adult,71.3
3093,LOWER PLENTY,England,3913,15.8,9.2,England,256,3.5,rang45n64,27.7,Adult,64.1
3094,MONTMORENCY,England,9034,14.5,7.1,England,722,4.2,rang45n64,27,Adult,67.3
3095,ELTHAM,England,18656,16.4,7.6,England,1830,5.2,rang45n64,30.8,Adult,68.6
3095,ELTHAM NORTH,England,7096,14.6,7.7,England,582,4.4,rang45n64,32.3,Adult,72.2
3095,RESEARCH,England,2302,12.5,5.8,England,202,4.7,rang45n64,33.2,Adult,72.4
3096,WATTLE GLEN,England,1676,13.5,5.2,England,176,5.5,rang45n64,28.2,Adult,64.9
3099,HURSTBRIDGE,England,2800,12,4.3,England,254,4.8,rang45n64,28.8,Adult,68.7
3101,KEW,China,25364,28.7,21,China,1798,4,rang45n64,25.9,Adult,68.1
3102,KEW EAST,China,6212,27.2,21.5,China,430,3.7,rang45n64,26.4,Adult,65.5
3103,BALWYN,China,13646,37.8,30.7,China,2424,9.7,rang45n64,27.6,Adult,66.1
3103,DEEPDENE,China,2473,29.5,23.5,China,328,7.3,rang45n64,27.9,Adult,62.7
3104,BALWYN NORTH,China,21429,35.4,29.2,China,2926,7.4,rang45n64,28.3,Adult,65.3
3105,BULLEEN,Italy,11404,40.9,37.6,Italy,1928,9.2,rang45n64,24.1,Adult,61
3106,TEMPLESTOWE,China,17354,37.8,30,China,1526,4.8,rang45n64,30.1,Adult,66.7
3107,TEMPLESTOWE LOWER,China,13790,37.7,32.5,China,1398,5.6,rang45n64,24.4,Adult,60
3108,DONCASTER,China,19527,47.5,42.5,China,3982,11.3,rang45n64,25.1,Adult,62.9
3109,DONCASTER EAST,China,28551,44.2,38.1,China,4278,8.2,rang45n64,26.3,Adult,65.7
3111,DONVALE,China,12173,29.5,22.1,China,798,3.5,rang45n64,27.9,Adult,64.1
3113,WARRANDYTE,England,5523,19.4,10.5,England,554,5.4,rang45n64,31.7,Adult,68.1
3113,NORTH WARRANDYTE,England,2822,16.6,6.4,England,334,6.4,rang45n64,30,Adult,67.3
3114,PARK ORCHARDS,England,3850,17.6,8.9,England,412,5.8,rang45n64,29.1,Adult,65.1
3115,WONGA PARK,England,2793,13.6,5.2,England,294,5.6,rang45n64,32,Adult,70
3116,CHIRNSIDE PARK,England,8624,20.8,10.3,England,1064,6.6,rang45n64,26.6,Adult,66.7
3121,RICHMOND,Vietnam,25957,35.1,24.5,Vietnam,2694,6.1,rang45n64,19.3,Adult,79.2
3121,BURNLEY,England,796,26.8,16.9,England,72,5,rang45n64,16.7,Adult,82.6
3121,CREMORNE,New Zealand,1667,25.7,10.5,New Zealand,154,5.3,rang45n64,13.5,Adult,85.9
3122,HAWTHORN,India,22712,33.2,24.2,India,1982,5,rang45n64,19.3,Adult,77.2
3123,HAWTHORN EAST,India,14015,29.7,21.1,India,1006,4.1,rang45n64,21.6,Adult,72.8
3124,CAMBERWELL,England,21043,26.9,17.5,England,1604,4.1,rang45n64,27.1,Adult,65.4
3125,BURWOOD,China,14030,43.1,37.1,China,3038,12.1,rang45n64,19.1,Adult,68.3
3126,CANTERBURY,England,8198,26.2,15.9,England,690,4.5,rang45n64,29.6,Adult,64.6
3127,SURREY HILLS,England,13779,22.8,14.6,England,964,3.8,rang45n64,28.3,Adult,67.8
3127,MONT ALBERT,China,5154,28.7,20.3,China,588,6.1,rang45n64,28.4,Adult,70
3128,BOX HILL,China,10246,53,49.3,China,3946,22.3,rang45n64,18.8,Adult,74.5
3128,BOX HILL SOUTH,China,8250,32.8,26,China,1270,8.6,rang45n64,24,Adult,67.4
3129,BOX HILL NORTH,China,11446,40.2,34.6,China,2444,11.6,rang45n64,23,Adult,66.9
3129,MONT ALBERT NORTH,China,5368,28.9,22.2,China,622,6.3,rang45n64,26.6,Adult,63.8
3130,BLACKBURN,England,13428,25.7,17.7,England,974,4,rang45n64,25.1,Adult,64
3130,BLACKBURN SOUTH,China,10997,30.8,24.1,China,1020,5.1,rang45n64,23.1,Adult,61
3130,BLACKBURN NORTH,China,7350,31,25.2,China,706,5.2,rang45n64,22.9,Adult,62.2
3131,NUNAWADING,China,11503,33.7,26.6,China,1182,5.6,rang45n64,21.9,Adult,65.6
3131,FOREST HILL,China,10480,36.5,30.1,China,1252,6.5,rang45n64,22.9,Adult,61.5
3132,MITCHAM,China,15738,28.7,21.5,China,1276,4.5,rang45n64,22.9,Adult,66.5
3133,VERMONT SOUTH,China,11972,37.8,30.1,China,1134,5.1,rang45n64,30.6,Adult,65.2
3133,VERMONT,England,10322,28.5,20.7,England,648,3.3,rang45n64,24.3,Adult,62.5
3134,RINGWOOD,England,16729,30.1,21.4,England,1312,4.2,rang45n64,21.5,Adult,65.7
3134,RINGWOOD NORTH,England,10032,20.5,12,England,768,4.1,rang45n64,27.8,Adult,66.4
3134,WARRANWOOD,England,4937,15.7,8.1,England,412,4.5,rang45n64,29.3,Adult,69.7
3134,WARRANDYTE SOUTH,England,239,16.7,5.3,England,36,7.8,rang45n64,34.3,Adult,75.7
3135,RINGWOOD EAST,England,10238,23.5,15,England,870,4.7,rang45n64,23,Adult,65.3
3135,HEATHMONT,England,9689,20.4,11,England,894,5,rang45n64,24.2,Adult,64.6
3136,CROYDON,England,24557,21.8,11.8,England,2674,5.9,rang45n64,23.6,Adult,64.6
3136,CROYDON NORTH,England,7970,18.6,8.3,England,874,5.9,rang45n64,28.9,Adult,68.4
3136,CROYDON HILLS,England,5343,16,7.9,England,384,3.8,rang45n64,29.1,Adult,70.4
3136,CROYDON SOUTH,England,4752,18.6,10.6,England,464,5.3,rang45n64,23.5,Adult,67.4
3137,KILSYTH,England,10507,19,8.7,England,1336,6.9,rang45n64,25.3,Adult,64.9
3137,KILSYTH SOUTH,England,3170,14.5,6.5,England,342,5.7,rang45n64,27.1,Adult,69
3138,MOOROOLBARK,England,21406,19.5,9.6,England,2358,5.9,rang45n64,25.1,Adult,68
3139,WANDIN NORTH,England,2269,12.5,5.1,England,226,5.3,rang45n64,24.2,Adult,65.5
3140,LILYDALE,England,16210,17.9,8.1,England,1844,6.1,rang45n64,25.7,Adult,67.1
3141,SOUTH YARRA,England,21362,37.5,23.3,England,1756,5.1,rang45n64,18,Adult,80.1
3142,TOORAK,England,13800,30.7,20.8,England,892,3.7,rang45n64,25.7,Adult,66.7
3143,ARMADALE,England,9320,30.5,20.5,England,678,4.2,rang45n64,22,Adult,69.8
3144,MALVERN,India,10136,25.7,17.1,India,634,3.5,rang45n64,25,Adult,65.8
3144,KOOYONG,England,841,20.3,13.7,England,78,5.1,rang45n64,27.7,Adult,64.7
3145,MALVERN EAST,China,21158,28.9,22.1,China,1758,4.6,rang45n64,24.4,Adult,69.1
3145,CAULFIELD EAST,China,1295,40.4,33,China,172,7.2,rang45n64,24.1,Adult,78.9
3146,GLEN IRIS,England,26370,26,18.1,England,1662,3.5,rang45n64,24.8,Adult,68.3
3147,ASHBURTON,England,8025,25.8,18.4,England,486,3.3,rang45n64,25,Adult,64.8
3147,ASHWOOD,China,6418,35.2,28.7,China,762,6.6,rang45n64,23.6,Adult,67.5
3148,CHADSTONE,China,8360,49.3,44.3,China,1330,9,rang45n64,20.6,Adult,73.7
3149,MOUNT WAVERLEY,China,33958,39.8,33.1,China,4616,7.4,rang45n64,24.6,Adult,63.9
3150,GLEN WAVERLEY,China,41176,50.9,44.5,China,8176,10.9,rang45n64,26,Adult,65.6
3150,WHEELERS HILL,China,20237,43.1,35.8,China,1976,5.3,rang45n64,28.8,Adult,64.2
3151,BURWOOD EAST,China,10601,47.6,43.2,China,2214,11.2,rang45n64,21.9,Adult,64.9
3152,WANTIRNA SOUTH,Malaysia,18112,39.1,31.3,Malaysia,1570,4.6,rang45n64,29.8,Adult,68.4
3152,WANTIRNA,China,14268,32.8,25.2,China,966,3.6,rang45n64,29.8,Adult,69.5
3153,BAYSWATER,England,11773,30.2,21.6,England,892,4.1,rang45n64,23.3,Adult,67.5
3153,BAYSWATER NORTH,England,8671,21.2,13.4,England,704,4.3,rang45n64,24.6,Adult,70.7
3155,BORONIA,England,21453,23.5,14,England,2224,5.6,rang45n64,25.4,Adult,67.3
3156,FERNTREE GULLY,England,26423,22.6,12.9,England,2814,5.7,rang45n64,26.3,Adult,68.7
3156,UPPER FERNTREE GULLY,England,3267,19.8,8.4,England,430,7.1,rang45n64,27.8,Adult,68.3
3156,LYSTERFIELD,England,6624,21.8,13.9,England,538,4.3,rang45n64,29.9,Adult,72.4
3156,LYSTERFIELD SOUTH,England,954,27.9,16.2,England,104,5.7,rang45n64,32.6,Adult,71.1
3158,UPWEY,England,7137,16.5,6.7,England,860,6.4,rang45n64,30.1,Adult,73.1
3159,SELBY,England,1714,15.7,5.7,England,194,6.1,rang45n64,28.4,Adult,71.5
3159,MENZIES CREEK,England,669,17.1,6.7,England,78,6.2,rang45n64,30.9,Adult,70.7
3160,BELGRAVE,England,4078,17.8,6.8,England,516,6.8,rang45n64,28.1,Adult,72.5
3160,BELGRAVE SOUTH,England,1549,16.9,6.6,England,178,6.1,rang45n64,31.6,Adult,69.6
3160,TECOMA,England,2108,16.5,5.9,England,282,7.2,rang45n64,30.4,Adult,69.4
3160,BELGRAVE HEIGHTS,England,1400,16.5,5.9,England,160,6.2,rang45n64,30.1,Adult,69.7
3161,CAULFIELD NORTH,Poland,15428,37.1,26.4,Poland,1034,3.8,rang45n64,23.1,Adult,67.7
3162,CAULFIELD SOUTH,South Africa,11911,38.7,25.7,South Africa,1362,6.4,rang45n64,26,Adult,66.3
3162,CAULFIELD,South Africa,5443,44.5,33.2,South Africa,638,6.6,rang45n64,23.4,Adult,62.4
3163,CARNEGIE,India,17289,44.4,37,India,2722,8.8,rang45n64,20.7,Adult,71.3
3163,MURRUMBEENA,India,9108,34.2,27.9,India,1048,6.3,rang45n64,23.5,Adult,71
3163,GLEN HUNTLY,India,4994,57.7,50,India,1284,15,rang45n64,18.8,Adult,78.2
3166,HUGHESDALE,China,7509,39.9,34.8,China,934,7,rang45n64,20.6,Adult,69.5
3166,OAKLEIGH,Greece,7984,38.7,33.1,Greece,906,6.3,rang45n64,20.9,Adult,68.3
3166,OAKLEIGH EAST,China,6366,50.2,44.5,China,878,7.7,rang45n64,17.6,Adult,69.9
3166,HUNTINGDALE,China,1884,42.8,37.6,China,246,7.2,rang45n64,21.1,Adult,69.2
3167,OAKLEIGH SOUTH,Greece,9637,42.4,37.2,Greece,998,5.7,rang45n64,25.4,Adult,67.6
3168,CLAYTON,China,16846,70.3,65.5,China,5214,17.8,rang45n64,11.9,Adult,78.5
3168,NOTTING HILL,China,2353,56,48.9,China,444,11.4,rang45n64,15.2,Adult,78.7
3169,CLAYTON SOUTH,India,12516,64.7,60.4,India,3214,14.7,rang45n64,20.1,Adult,70
3169,CLARINDA,India,7848,54,50.1,India,1282,9,rang45n64,27.4,Adult,67.9
3170,MULGRAVE,Sri Lanka,18848,44.4,39.1,Sri Lanka,1576,4.6,rang45n64,23.9,Adult,66.1
3171,SPRINGVALE,Vietnam,20973,68.8,65.6,Vietnam,8414,22.4,rang45n64,20.7,Adult,68.1
3172,SPRINGVALE SOUTH,Vietnam,12802,59.5,56.1,Vietnam,4456,19.3,rang45n64,23.9,Adult,69.2
3172,DINGLEY VILLAGE,England,10675,23.5,14.2,England,1018,5.1,rang45n64,28.8,Adult,65.1
3173,KEYSBOROUGH,Vietnam,21282,52.8,47.7,Vietnam,4022,10.6,rang45n64,26.1,Adult,68.7
3174,NOBLE PARK,India,30183,60.1,54.8,India,4806,8.9,rang45n64,21.9,Adult,68.3
3174,NOBLE PARK NORTH,Sri Lanka,7797,51.6,45.5,Sri Lanka,706,5,rang45n64,25.1,Adult,67.3
3175,DANDENONG,India,27378,67,62.3,India,5528,12,rang45n64,18.8,Adult,68.4
3175,DANDENONG NORTH,Sri Lanka,22992,52.5,46.2,Sri Lanka,2158,5.2,rang45n64,25.3,Adult,66.9
3175,BANGHOLME,England,882,38.4,15.7,England,214,14.6,rang45n64,23.9,Adult,40.2
3177,DOVETON,India,9007,51.4,44.2,India,984,6.3,rang45n64,21.5,Adult,65.8
3177,EUMEMMERRING,England,1956,51.1,41.2,England,138,4.1,rang45n64,24,Adult,64.9
3178,ROWVILLE,England,35305,31.7,24.4,England,2274,3.4,rang45n64,27.6,Adult,69.8
3179,SCORESBY,India,6169,33.4,25.8,India,396,3.4,rang45n64,27.5,Adult,69.7
3180,KNOXFIELD,England,7451,29.1,20,England,698,5,rang45n64,26,Adult,65.6
3181,WINDSOR,Greece,7797,35.8,23.3,Greece,558,4.5,rang45n64,16.6,Adult,76.8
3181,PRAHRAN,England,12441,33,20.4,England,990,4.9,rang45n64,17.3,Adult,79.5
3182,ST KILDA,England,19728,37.4,19.2,England,2020,6.4,rang45n64,20.2,Adult,86.3
3182,ST KILDA WEST,England,3116,30,14,England,342,6.6,rang45n64,25,Adult,81.7
3183,ST KILDA EAST,England,13375,34.7,21.9,England,822,3.5,rang45n64,18.4,Adult,76.3
3183,BALACLAVA,India,5758,37.9,24.5,India,496,4.9,rang45n64,18.4,Adult,79.6
3184,ELWOOD,England,15830,28.6,14.5,England,1516,5.7,rang45n64,20.9,Adult,80.5
3185,ELSTERNWICK,England,10290,30.9,20.4,England,698,3.9,rang45n64,23.6,Adult,67
3185,GARDENVALE,India,1007,34.1,25,India,84,4.6,rang45n64,24.1,Adult,72
3185,RIPPONLEA,England,1585,32.2,22.7,England,102,3.6,rang45n64,18.9,Adult,75.5
3186,BRIGHTON,England,22547,26.3,13.3,England,2498,6.3,rang45n64,29.6,Adult,62.3
3187,BRIGHTON EAST,England,16675,27.7,16.3,England,1488,4.9,rang45n64,27,Adult,60.9
3188,HAMPTON,England,13172,25.3,11.7,England,1728,7.3,rang45n64,28.5,Adult,63.6
3188,HAMPTON EAST,England,4686,30.4,21.1,England,336,4,rang45n64,24.9,Adult,65.7
3189,MOORABBIN,England,5591,34.1,25.5,England,358,3.6,rang45n64,23.4,Adult,65.3
3190,HIGHETT,England,10796,28.4,18.2,England,886,4.6,rang45n64,24.2,Adult,64.8
3191,SANDRINGHAM,England,9809,25.1,9.5,England,1468,8.2,rang45n64,27.7,Adult,61.3
3192,CHELTENHAM,England,21311,27.6,18.1,England,1670,4.3,rang45n64,23.5,Adult,63.6
3193,BEAUMARIS,England,13434,22.6,9.1,England,1838,7.3,rang45n64,29.8,Adult,62.3
3193,BLACK ROCK,England,6218,22.5,9.5,England,804,7.2,rang45n64,30.3,Adult,62.2
3194,MENTONE,England,12458,28,17,England,1134,5.1,rang45n64,25.3,Adult,66
3195,MORDIALLOC,England,7982,26.2,14.8,England,880,6.1,rang45n64,24.9,Adult,67.8
3195,ASPENDALE,England,6930,19.8,10,England,616,4.9,rang45n64,25.4,Adult,65.1
3195,PARKDALE,England,11749,20.7,10.9,England,1084,5.1,rang45n64,26.5,Adult,66.1
3195,ASPENDALE GARDENS,England,6889,31.4,22.4,England,544,4.3,rang45n64,27.4,Adult,66.6
3195,WATERWAYS,China,2344,46,35.4,China,220,5.3,rang45n64,21.2,Adult,70.4
3196,CHELSEA,England,7571,26.5,15.2,England,766,5.6,rang45n64,22.7,Adult,65
3196,EDITHVALE,England,5711,20.1,9.2,England,594,5.7,rang45n64,24.1,Adult,65.7
3196,BONBEACH,England,6026,24,12.5,England,646,6.1,rang45n64,24.7,Adult,67.3
3196,CHELSEA HEIGHTS,England,5375,27.4,18.1,England,476,4.8,rang45n64,25.5,Adult,67.7
3197,PATTERSON LAKES,England,7873,26.4,16.6,England,728,5.1,rang45n64,30.2,Adult,67.9
3197,CARRUM,England,3734,22,10.6,England,428,6.4,rang45n64,25.8,Adult,68
3198,SEAFORD,England,16732,22.4,10,England,1978,6.7,rang45n64,25.8,Adult,67.6
3199,FRANKSTON,England,36194,25.5,12.3,England,4486,6.9,rang45n64,24.7,Adult,66.7
3199,FRANKSTON SOUTH,England,18309,22.4,8.6,England,2906,8.6,rang45n64,28,Adult,62.7
3200,FRANKSTON NORTH,England,5847,24,11.5,England,620,6,rang45n64,23.6,Adult,63.7
3201,CARRUM DOWNS,England,19895,25.2,15,England,1598,4.5,rang45n64,23.1,Adult,69.3
3202,HEATHERTON,England,2927,36.5,25,England,198,3.8,rang45n64,22.3,Adult,65
3204,ORMOND,India,8139,37.7,30.6,India,1058,7.2,rang45n64,23.5,Adult,71
3204,BENTLEIGH,England,15914,32.5,24,England,1044,3.6,rang45n64,25.7,Adult,66.2
3204,MCKINNON,China,5926,30.5,21.7,China,366,3.4,rang45n64,28,Adult,66.6
3205,SOUTH MELBOURNE,England,10622,36.4,23.4,England,882,5.1,rang45n64,22.3,Adult,75.9
3206,ALBERT PARK,England,6394,26.4,14.7,England,594,5.3,rang45n64,25.3,Adult,68.2
3206,MIDDLE PARK,England,4301,25.8,13,England,406,5.3,rang45n64,25.4,Adult,67.4
3207,PORT MELBOURNE,England,15971,30,17.1,England,1596,5.9,rang45n64,24.8,Adult,75.1
3214,CORIO,England,15433,21.6,14.9,England,1078,3.8,rang45n64,24.5,Adult,66.9
3214,NORLANE,Croatia,8224,25.5,20.3,Croatia,400,2.7,rang45n64,24.8,Adult,63.1
3214,NORTH SHORE,Netherlands,370,14.6,10,Netherlands,16,2.4,rang45n64,27,Adult,63.2
3215,BELL PARK,Croatia,5436,34.3,31.1,Croatia,866,8.7,rang45n64,22.1,Adult,60
3215,HAMLYN HEIGHTS,England,6218,16.8,12.2,England,274,2.4,rang45n64,23.4,Adult,63.7
3215,BELL POST HILL,Croatia,5032,29.8,25.1,Croatia,406,4.4,rang45n64,28.3,Adult,62.9
3215,NORTH GEELONG,Croatia,2441,27.5,22.5,Croatia,166,3.8,rang45n64,24.4,Adult,63.4
3215,DRUMCONDRA,England,645,15.4,8.6,England,58,5.1,rang45n64,34.7,Adult,66.4
3216,BELMONT,England,13952,14.8,8.1,England,858,3.3,rang45n64,22.9,Adult,64.2
3216,GROVEDALE,England,14675,13.6,6.7,England,1088,4,rang45n64,24,Adult,63.8
3216,HIGHTON,England,17516,17.9,9.9,England,1262,3.9,rang45n64,27,Adult,65.3
3216,MARSHALL,England,1380,12.2,6.2,England,94,3.8,rang45n64,16,Adult,53.5
3216,WANDANA HEIGHTS,England,2063,16.4,7.9,England,172,4.6,rang45n64,32,Adult,71.4
3216,WAURN PONDS,England,3393,13.9,6.5,England,278,4.3,rang45n64,19,Adult,67.1
3218,GEELONG WEST,England,6876,16.8,11.2,England,360,2.8,rang45n64,21.5,Adult,69.8
3218,HERNE HILL,England,3445,11.2,6.6,England,166,2.7,rang45n64,24.2,Adult,67.9
3218,MANIFOLD HEIGHTS,England,2641,12.6,7.4,England,96,1.9,rang45n64,26.8,Adult,68
3219,NEWCOMB,England,4611,17.5,10.3,England,364,4.2,rang45n64,25.5,Adult,62.8
3219,EAST GEELONG,England,3973,13.4,6.6,England,246,3.3,rang45n64,27.2,Adult,70.8
3219,THOMSON,England,1595,16,7.9,England,148,5.2,rang45n64,25.2,Adult,70.2
3219,WHITTINGTON,England,4258,13.9,7.9,England,284,3.7,rang45n64,25.4,Adult,63.5
3219,BREAKWATER,England,1095,14.8,8.9,England,70,3.6,rang45n64,21.1,Adult,64.6
3220,NEWTOWN,England,10033,13.3,7.4,England,588,3.2,rang45n64,27.7,Adult,66.1
3220,GEELONG,England,4885,20.9,15,England,324,3.7,rang45n64,26.3,Adult,72.9
3221,LOVELY BANKS,Croatia,1387,20.3,17.5,Croatia,74,2.9,rang45n64,22.9,Adult,68.9
3221,MOOLAP,England,544,13.2,8.9,England,42,4.1,rang45n64,29.8,Adult,62.9
3350,BALLARAT EAST,England,5482,9.6,4.8,England,272,2.7,rang45n64,22.1,Adult,64
3350,BALLARAT CENTRAL,England,5703,11,6.2,England,222,2.1,rang45n64,24.4,Adult,69.2
3350,MOUNT CLEAR,England,3015,11.1,6.5,England,118,2.1,rang45n64,23.8,Adult,69.8
3350,BLACK HILL,England,4922,8.6,4.3,England,220,2.4,rang45n64,24.3,Adult,65.8
